monark;født;død;regent_fra;regent_til;regent_igen_fra;regent_igen_til;regeringstid;nr_monark
Gorm den Gamle ;913;958;936;958;NA;NA;22;1
Harald (1.) Blåtand ;NA;987;958;987;NA;NA;29;2
Svend (1.) Tveskæg ;NA;1014;987;1014;NA;NA;27;3
Harald (2.) Svensen ;NA;1018;1014;1018;NA;NA;4;4
Knud (2.) den Store ;995;1035;1018;1035;NA;NA;17;5
Hardeknud (Knud 3.) ;1020;1042;1035;1042;NA;NA;7;6
Magnus (1.) den Gode ;1024;1047;1042;1047;NA;NA;5;7
Svend (2.) Estridsen ;NA;1076;1047;1074;NA;NA;27;8
Harald (3.) Hén ;NA;1080;1074;1080;NA;NA;6;9
Knud (4.) den Hellige ;NA;1086;1080;1086;NA;NA;6;10
Oluf (1.) Hunger ;NA;1095;1086;1095;NA;NA;9;11
Erik (1.) Ejegod ;1056;1103;1095;1103;NA;NA;8;12
Niels ;NA;1134;1104;1134;NA;NA;30;13
Erik (2.) Emune ;NA;1137;1134;1137;NA;NA;3;14
Erik (3.) Lam ;NA;1146;1137;1146;NA;NA;9;15
Svend (3.) Grathe ;NA;1157;1146;1157;NA;NA;11;16
Knud (5.) Magnussen ;NA;1157;1146;1157;NA;NA;11;17
Valdemar (1.) den Store ;1131;1182;1157;1182;NA;NA;25;18
Knud 6. ;1163;1202;1182;1202;NA;NA;20;19
Valdemar (2.) Sejr ;1170;1241;1202;1241;NA;NA;39;20
Erik (4.) Plovpenning ;1216;1250;1241;1250;NA;NA;9;21
Abel ;1218;1252;1250;1252;NA;NA;2;22
Christoffer 1. ;1219;1259;1252;1259;NA;NA;7;23
Erik (5.) Klipping ;1249;1286;1259;1286;NA;NA;27;24
Erik (6.) Menved ;1274;1319;1286;1319;NA;NA;33;25
Christoffer 2. ;1276;1332;1320;1326;1330;1332;8;26
Valdemar (3.) Eriksen ;1314;1330;1326;1330;NA;NA;4;27
Valdemar (4.) Atterdag ;1320;1375;1340;1375;NA;NA;35;28
Oluf 2. ;1370;1387;1376;1387;NA;NA;11;29
Margrete 1. ;1353;1412;1387;1412;NA;NA;25;30
Erik (7.) af Pommern ;1382;1459;1412;1439;NA;NA;27;31
Christoffer 3. af Bayern ;1416;1448;1440;1448;NA;NA;8;32
Christian 1. ;1426;1481;1448;1481;NA;NA;33;33
Hans ;1455;1513;1481;1513;NA;NA;32;34
Christian 2. ;1481;1559;1513;1523;NA;NA;10;35
Frederik 1. ;1471;1533;1523;1533;NA;NA;10;36
Christian 3. ;1503;1559;1534;1559;NA;NA;25;37
Frederik 2. ;1534;1588;1559;1588;NA;NA;29;38
Christian 4. ;1577;1648;1588;1648;NA;NA;60;39
Frederik 3. ;1609;1670;1648;1670;NA;NA;22;40
Christian 5. ;1646;1699;1670;1699;NA;NA;29;41
Frederik 4. ;1671;1730;1699;1730;NA;NA;31;42
Christian 6. ;1699;1746;1730;1746;NA;NA;16;43
Frederik 5. ;1723;1766;1746;1766;NA;NA;20;44
Christian 7. ;1749;1808;1766;1808;NA;NA;42;45
Frederik 6. ;1768;1839;1808;1839;NA;NA;31;46
Christian 8. ;1786;1848;1839;1848;NA;NA;9;47
Frederik 7. ;1808;1863;1848;1863;NA;NA;15;48
Christian 9. ;1818;1906;1863;1906;NA;NA;43;49
Frederik 8. ;1843;1912;1906;1912;NA;NA;6;50
Christian 10. ;1870;1947;1912;1947;NA;NA;35;51
Frederik 9. ;1899;1972;1947;1972;NA;NA;25;52
Margrethe 2. ;1940;NA;1972;2023;NA;NA;51;53
